review_id_1,stars_1,pre_cleaned_text_1,review_id_2,stars_2,pre_cleaned_text_2
Sx8TMOWLNuJBWer-0pcmoA,4,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.",DK-hGw3XSTJHT26yjzeG3Q,4,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.

Still don't like the sandwiches. Tried the fries though and tasty!"
VE11x_UNVxri3ZHTzcG2jw,5,"We went around 6 and it was more packed than I expected. I knew it would be busy but I was surprised. The staff was amazing. We waited in line for about 8 minutes regardless of it being a huge line going out side. Found a table and had our food in less than five minutes. Even with the amount of people they had, it ran so smoothly. One sandwich was messed up but it was very loud in there so I don't think she heard me correctly but someone came to our table and had a new correct sandwich almost immediately. I love that they made time to go around asking if we needed refills and how the food was. So glad to have a chick fil a in Reno. They upheld the chick fil a standards even with all the chaos of opening day.",zkdQne-z9Eho56o0l18SeQ,5,"We went around 6 and it was more packed than I expected. I knew it would be busy but I was surprised. The staff was amazing. We waited in line for about 8 minutes regardless of it being a huge line going out side. Found a table and had our food in less than five minutes. Even with the amount of people they had, it ran so smoothly. One sandwich was messed up but it was very loud in there so I don't think she heard me correctly but someone came to our table and had a new correct sandwich almost immediately. I love that they made time to go around asking if we needed refills and how the food was. So glad to have a chick fil a in Reno. They upheld the chick fil a standards even with all the chaos of opening day.

UPDATE
(This is in response to the comment CFA left)
This service is still as wonderful as opening day! Coming to your restaurant is always an incredible experience. I would point out a specific employee to praise but honestly every employee is so amazing!"
mMwnX1vc3tQUeDNS2wiKFw,4,"Great bar Happy Hour 4-7 every day. Wine & Drafts $3, $5 pizza, $4.50 apps. To-go Dinners and lunches are very reasonable and fast. Staff are as friendly as it gets.",NuXEG0pYFoH5TKBFqJs-IQ,5,"Great bar Happy Hour 4-7 every day. Wine & Drafts $3, $5 pizza, $4.50 apps. To-go Dinners and lunches are very reasonable and fast. Staff are as friendly as it gets.

Love the HH Pizzas. A flatbread style thin crust pepperoni and only  $5.  Peroni, Sam Adams Seasonal, Icky and BudLite on tap."
dQ3EU6cevDqHAr_ygy1O8A,5,"I absolutely love this place!

Great hours, impeccably clean, so relaxing.",jnn1nGqdV-Knuju2ZI5C8g,5,Love this place! Great wines! Fun place and environment
Zb_27vX8weaYyDn-_2ZhVA,1,"This is an updated review. I've been ordering from silver mine's at the same location for the last 4-5 years and they have only gotten progressively worse. Don't ask for anything to be added to your soup or chili; they'll charge you for the additions but will not include them in the order. They'll also most likely to include the free side such as the bread. It literally takes at least an hour to get your food delivered, maybe they should call Jimmy Johns and ask the what their secret is. This business is in major trouble with all of the other options available. The service is worse than if you had a bunch of kindergarteners running the business, at least they would be nice. You guys are right next to Eller Business School, why don't you ask them how you can improve??? Currently, this place is an embarrassment to their industry, and a waste of space on University Blvd. NEVER ORDERING FROM THIS PLACE AGAIN.",-crxsnaKPE07GLVPvX0MMQ,1,"This is an updated review. I've been ordering from silver mine's at the same location for the last 4-5 years and they have only gotten progressively worse. Don't ask for anything to be added to your soup or chili; they'll charge you for the additions but will not include them in the order. They'll also most likely forget to include the free side such as the bread. It literally takes at least an hour to get your food delivered, maybe they should call Jimmy Johns and ask the what their secret is. This business is in major trouble with all of the other options available. The service is worse than if you had a bunch of kindergarteners running the business, at least they would be nice. You guys are right next to Eller Business School, why don't you ask them how you can improve??? Currently, this place is an embarrassment to their industry, and a waste of space on University Blvd."
N4ENha1fR96wkGPlftezPg,5,"Love it here! Their sips mocha is my go-to. Staff has always been so nice! Absolutely love that they have a drive thru too, helps not to unload my kiddos. Oh and their cakes are amazing too!",x7FC7r5bCNxi2jEQvqxGsQ,5,"I love the drive thru, very easy if you are on the road already or are in a hurry. Staff is always so friendly and I've never had a problem with the taste or quality of my drinks/food."
RZq-EioVPJpBgwbN2aFmVw,5,"Just got 2 tattoos at Stigma today and I am so happy! I went there because they have good reviews and their website is good. I got a cluster or roses on my shoulder with some ""brush strokes"" of color on them. My tattoo artist is Eddie. He is very friendly and fun! He did exactly like I asked. He is a very good artist. His line work is perfect and so I will be going back to him for more. I have a bad back (bulging and hemorrhaged discs) and sometimes I can't sit in the same place for long periods of time. Eddie was very helpful and accommodating with that. While I was there I talked to pretty much every employee there. The entire staff are really friendly. It's a cool place to be. I did a Yelp check-in and got $10 off! How cool is that?! On the website I saw that the owner, Chino developed his own tattoo ointment. He said that he just wasn't very happy with the other stuff that's out there because they are petroleum product so he did a ton of research and developed his own. It has ingredients like sunflower and soybean oil, lavender, beeswax, vitamin E, Shea and cocoa butter. I bought some and it is indeed very soothing. If you are looking to get inked, go here. You will be in good hands with some great artists and you will be just as happy as I am right now.",RQY_P1raDRzMiYl1WtdK8w,5,"Just got 2 tattoos at Stigma today and I am so happy! I went there because they have good reviews and their website is good. I got a cluster or roses on my shoulder with some ""brush strokes"" of color on them. My tattoo artist is Eddie. He is very friendly and fun! He did exactly like I asked. He is a very good artist. His line work is perfect and so I will be going back to him for more. I have a bad back (bulging and hemorrhaged discs) and sometimes I can't sit in the same place for long periods of time. Eddie was very helpful and accommodating with that. While I was there I talked to pretty much every employee there. The entire staff are really friendly. It's a cool place to be. I did a Yelp check-in and got $10 off! How cool is that?! On the website I saw that the owner, Chino developed his own tattoo ointment. He said that he just wasn't very happy with the other stuff that's out there because they are petroleum product so he did a ton of research and developed his own. It has ingredients like sunflower and soybean oil, lavender, beeswax, vitamin E, Shea and cocoa butter. I bought some and it is indeed very soothing. If you are looking to get inked, go here. You will be in good hands with some great artists and you will be just as happy as I am right now.

UPDATE: Just went to Stigma again and got a simple black arm band, courtesy of Santana. Even though it's a simple arm band, that type of tattoo isn't as simple to do as it looks. Gotta be able to do an extremely straight line. Good line work is the mark of a good tattoo artist. Santana is an awesome artist and very friendly. You gotta see his portfolio!

I heart Stigma!"
RZq-EioVPJpBgwbN2aFmVw,5,"Just got 2 tattoos at Stigma today and I am so happy! I went there because they have good reviews and their website is good. I got a cluster or roses on my shoulder with some ""brush strokes"" of color on them. My tattoo artist is Eddie. He is very friendly and fun! He did exactly like I asked. He is a very good artist. His line work is perfect and so I will be going back to him for more. I have a bad back (bulging and hemorrhaged discs) and sometimes I can't sit in the same place for long periods of time. Eddie was very helpful and accommodating with that. While I was there I talked to pretty much every employee there. The entire staff are really friendly. It's a cool place to be. I did a Yelp check-in and got $10 off! How cool is that?! On the website I saw that the owner, Chino developed his own tattoo ointment. He said that he just wasn't very happy with the other stuff that's out there because they are petroleum product so he did a ton of research and developed his own. It has ingredients like sunflower and soybean oil, lavender, beeswax, vitamin E, Shea and cocoa butter. I bought some and it is indeed very soothing. If you are looking to get inked, go here. You will be in good hands with some great artists and you will be just as happy as I am right now.",Jjby0Vu3NaCJEHRmWvOwQw,5,"Just got 2 tattoos at Stigma today and I am so happy! I went there because they have good reviews and their website is good. I got a cluster or roses on my shoulder with some ""brush strokes"" of color on them. My tattoo artist is Eddie. He is very friendly and fun! He did exactly like I asked. He is a very good artist. His line work is perfect and so I will be going back to him for more. I have a bad back (bulging and hemorrhaged discs) and sometimes I can't sit in the same place for long periods of time. Eddie was very helpful and accommodating with that. While I was there I talked to pretty much every employee there. The entire staff are really friendly. It's a cool place to be. I did a Yelp check-in and got $10 off! How cool is that?! On the website I saw that the owner, Chino developed his own tattoo ointment. He said that he just wasn't very happy with the other stuff that's out there because they are petroleum product so he did a ton of research and developed his own. It has ingredients like sunflower and soybean oil, lavender, beeswax, vitamin E, Shea and cocoa butter. I bought some and it is indeed very soothing. If you are looking to get inked, go here. You will be in good hands with some great artists and you will be just as happy as I am right now.

UPDATE: Just went to Stigma again and got a simple black arm band, courtesy of Santana. Even though it's a simple arm band, that type of tattoo isn't as simple to do as it looks. Gotta be able to do an extremely straight line. Good line work is the mark of a good tattoo artist. Santana is an awesome artist and very friendly. You gotta see his portfolio!

UPDATE: Got two more awesome tats from Eddie today! 
I heart Stigma!"
-cHtqHUY02Wq3GfA-WQ2tg,2,"I went in for a mani and pedi. My student was a nice person and we chatted. However it took 3 hours and my hands just look terrible. The feet are fine and feel great. Hands, just terrible. No one came and checked in if the work was done properly. I'm fine that it takes longer, they are there to learn. However, I shouldn't have been charged for the manicure (pedicure yes) or at least have someone else redo my nails. See the pictures for yourselves, this is 15 minutes out!

Edit: just wanted to add that when I removed my shoes, my pedi was ruined. I asked if it was ready to put shoes on and I was told yes. 2 stars only because at least my student was nice but 0 for the service (34$!)",Wnog2UO9LiDQgaX9IR1w7Q,4,"I went in for a mani and pedi. My student was a nice person and we chatted. However it took 3 hours and my hands just look terrible. The feet are fine and feel great. Hands, just terrible. No one came and checked in if the work was done properly. I'm fine that it takes longer, they are there to learn. However, I shouldn't have been charged for the manicure (pedicure yes) or at least have someone else redo my nails. See the pictures for yourselves, this is 15 minutes out!

Edit: just wanted to add that when I removed my shoes, my pedi was ruined. I asked if it was ready to put shoes on and I was told yes. 2 stars only because at least my student was nice but 0 for the service (34$!)

Update: After I posted this review the manager contacted me and apologized. They offered me to come back again and have it done properly. I did and I am very happy with the service and result. It was night and day from last time so I guess it really depends on who does the service for you. My only complaint is that the nail dryer could be more powerful so it doesn't dry nails as effectively as it could. However this doesn't have to do with the service I received from my students who was awesome. Very attentive and professional. I will be going back again because they did reach out and made up for the initial mistake."
fUWM7VUobB5f3lGh14PvCQ,5,"First time for lunch.  Extensive and flavorful gluten free menu.  

Good lunch and friendly service.",k2RzWjWdP53AKBfGGQIj5w,5,"First time for lunch.  Extensive and flavorful gluten free menu.  

Good lunch and friendly service"
